,vary,constrain_code,base_model_code,model_names,dataset_name,state,exp_name
0,eps,dp,lr,hybrids,compas,done,s_h_1.0
1,eps,dp,lr,hybrids,german,done,s_h_1.0
2,eps,dp,lr,hybrids,adult_sigmod,done,s_h_1.0
3,eps,dp,lr,hybrids,ACSPublicCoverage,done,acs_h_eps_1.0
4,eps,dp,lr,hybrids,ACSEmployment,done,acs_h_eps_1.E0
5,eps,dp,lgbm,hybrids,compas,done,s_h_1.0
6,eps,dp,lgbm,hybrids,german,done,s_h_1.0
7,eps,dp,lgbm,hybrids,adult_sigmod,done,s_h_1.0
8,eps,dp,lgbm,hybrids,ACSPublicCoverage,done,acs_h_eps_1.LGBM0
9,eps,dp,lgbm,hybrids,ACSEmployment,done,acs_h_eps_1.LGBM0
10,eps,eo,lr,hybrids,compas,done,s_h_EO_1.0
11,eps,eo,lr,hybrids,german,done,s_h_EO_1.0
12,eps,eo,lr,hybrids,adult_sigmod,done,s_h_EO_1.0
13,eps,eo,lr,hybrids,ACSPublicCoverage,todo,acs_eps_EO_1.0
14,eps,eo,lr,hybrids,ACSEmployment,todo,acs_eps_EO_1.0
15,eps,eo,lgbm,hybrids,compas,done,s_h_EO_1.0
16,eps,eo,lgbm,hybrids,german,done,s_h_EO_1.0
17,eps,eo,lgbm,hybrids,adult_sigmod,done,s_h_EO_1.0
18,eps,eo,lgbm,hybrids,ACSPublicCoverage,todo,acs_eps_EO_2
19,eps,eo,lgbm,hybrids,ACSEmployment,todo,acs_eps_EO_2
20,exp_frac,dp,lr,hybrids,compas,no,no
21,exp_frac,dp,lr,hybrids,german,no,no
22,exp_frac,dp,lr,hybrids,adult_sigmod,done,old_sys / acs_h_gs1_1.0
23,exp_frac,dp,lr,hybrids,ACSPublicCoverage,done,old_sys / acs_h_gs1_1.0
24,exp_frac,dp,lr,hybrids,ACSEmployment,todo,old_sys /
25,exp_frac,dp,lgbm,hybrids,compas,no,
26,exp_frac,dp,lgbm,hybrids,german,no,
27,exp_frac,dp,lgbm,hybrids,adult_sigmod,done,old_sys /
28,exp_frac,dp,lgbm,hybrids,ACSPublicCoverage,done,old_sys /
29,exp_frac,dp,lgbm,hybrids,ACSEmployment,done,old_sys /
30,exp_frac,eo,lr,hybrids,compas,no,no
31,exp_frac,eo,lr,hybrids,german,no,no
32,exp_frac,eo,lr,hybrids,adult_sigmod,done,acs_h_gs1_EO_1.0
33,exp_frac,eo,lr,hybrids,ACSPublicCoverage,done,acs_h_gs1_EO_1.0
34,exp_frac,eo,lr,hybrids,ACSEmployment,done,acs_h_gs1_EO_1.0
35,exp_frac,eo,lgbm,hybrids,compas,no,no
36,exp_frac,eo,lgbm,hybrids,german,no,no
37,exp_frac,eo,lgbm,hybrids,adult_sigmod,todo,acs_h_gs1_EO_2.0
38,exp_frac,eo,lgbm,hybrids,ACSPublicCoverage,todo,acs_h_gs1_EO_2.0
39,exp_frac,eo,lgbm,hybrids,ACSEmployment,todo,acs_h_gs1_EO_2.0
40,fairlearn_eta0,dp,lr,hybrids,compas,todo,f_eta0_1.0
41,fairlearn_eta0,dp,lr,hybrids,german,todo,f_eta0_1.0
42,fairlearn_eta0,dp,lr,hybrids,adult_sigmod,todo,f_eta0_1.0
43,fairlearn_eta0,dp,lr,hybrids,ACSPublicCoverage,no,no
44,fairlearn_eta0,dp,lr,hybrids,ACSEmployment,no,no
45,fairlearn_eta0,dp,lgbm,hybrids,compas,ev,
46,fairlearn_eta0,dp,lgbm,hybrids,german,ev,
47,fairlearn_eta0,dp,lgbm,hybrids,adult_sigmod,ev,
48,fairlearn_eta0,dp,lgbm,hybrids,ACSPublicCoverage,no,
49,fairlearn_eta0,dp,lgbm,hybrids,ACSEmployment,no,
50,fairlearn_eta0,eo,lr,hybrids,compas,todo,f_eta0_2.0
51,fairlearn_eta0,eo,lr,hybrids,german,todo,f_eta0_2.0
52,fairlearn_eta0,eo,lr,hybrids,adult_sigmod,todo,f_eta0_2.0
53,fairlearn_eta0,eo,lr,hybrids,ACSPublicCoverage,no,
54,fairlearn_eta0,eo,lr,hybrids,ACSEmployment,no,
55,fairlearn_eta0,eo,lgbm,hybrids,compas,ev,
56,fairlearn_eta0,eo,lgbm,hybrids,german,ev,
57,fairlearn_eta0,eo,lgbm,hybrids,adult_sigmod,ev,
58,fairlearn_eta0,eo,lgbm,hybrids,ACSPublicCoverage,no,
59,fairlearn_eta0,eo,lgbm,hybrids,ACSEmployment,no,
